PNA,Nazwa instytucji,Miejscowość,Ulica,Nr
00-933,"Redakcja ""Tele Tydzień""",Warszawa (Praga-Południe),Motorowa,1
00-929,"Redakcja ""Twoje Imperium""",Warszawa (Praga-Południe),Motorowa,1
65-069,Sad Okręgowy,Zielona Góra,Plac Słowiański,6
90-921,Sąd Okręgowy w Łodzi,Łódź (Łódź-Śródmieście),pl. gen. Henryka Dąbrowskiego,5
65-069,Sąd Rejonowy,Zielona Góra,Plac Słowiański,2
90-928,Sąd Rejonowy dla Łodzi Śródmieścia,Łódź (Łódź-Śródmieście),Aleja T. Kościuszki,107/109
00-937,Spółdzielnia Rozrywka,Warszawa (Śródmieście),Wilcza,50/52
00-904,Sztab Generalny Wojska Polskiego,Warszawa (Mokotów),Rakowiecka,4 A
00-988,Świat Książki Sp. z o.o.,Warszawa (Ursynów),Jana Rosoła,10
00-945,Telekomunikacja Polska S.A,Warszawa (Śródmieście),Świętokrzyska,3
15-425,Telekomunikacja Polska S.A.,Białystok,Cieszyńska,3 A
60-941,Telekomunikacja Polska S.A. Dyrekcja Okręgu,Poznań (Poznań-Stare Miasto),Tadeusza Kościuszki,77
00-999,Telewizja Polska S.A.,Warszawa (Mokotów),Jana Pawła Woronicza,17
45-899,TP S.A. Obszar Relacji z Klientami,Opole,Kazimierza Sosnkowskiego,20
00-927,Uniwersytet Warszawski,Warszawa (Śródmieście),Krakowskie Przedmieście,26/28
90-926,Urząd Miasta Łodzi,Łódź (Łódź-Śródmieście),Piotrkowska,104
70-456,Urząd Miasta Szczecin,Szczecin,Plac Armii Krajowej,1
60-965,Urząd Skarbowy Poznań - Nowe Miasto,Poznań (Poznań-Wilda),Dezyderego Chłapowskiego,17/18
61-501,Urząd Skarbowy POznań - Wilda,Poznań (Poznań-Wilda),Dolna Wilda,80 B
60-918,Wielkopolska Korporacja Techniczna (WKT) - NOT,Poznań (Poznań-Stare Miasto),Henryka Wieniawskiego,5/9
70-502,Zachodniopomorski Urząd Wojewódzki w Szczecinie,Szczecin,Wały Chrobrego,4
60-908,Zakład Ubezpieczeń Społecznych,Poznań (Poznań-Jeżyce),Jana Henryka Dąbrowskiego,12
90-930,Zakład Ubezpieczeń Społecznych I Oddział w Łodzi,Łódź (Łódź-Śródmieście),Ludwika Zamenhofa,2
00-917,Zakład Ubezpieczeń Społecznych I Oddział w Warszawie,Warszawa (Śródmieście),Senatorska,6/8
00-982,Zakład Ubezpieczeń Społecznych III Oddział w Warszawie,Warszawa (Mokotów),Czerniakowska,16
15-951,Zakład Ubezpieczeń Społecznych Oddział w Białymstoku,Białystok,Młynowa,29
43-350,Zakład Ubezpieczeń Społecznych Oddział w Bielsku-Białej,Bielsko-Biała,Zygmunta Krasińskiego,34
41-530,"Zakład Ubezpieczeń Społecznych Oddział w Chorzowie, Inspektorat w Katowicach",Chorzów,gen. Henryka Dąbrowskiego,45
42-294,Zakład Ubezpieczeń Społecznych Oddział w Częstochowie,Częstochowa,gen. Jana Henryka Dąbrowskiego,43/45
81-980,"Zakład Ubezpieczeń Społecznych Oddział w Gdańsku, Inspektorat w Gdyni",Gdynia,Władysława IV,24
25-960,Zakład Ubezpieczeń Społecznych Oddział w Kielcach,Kielce,Piotrkowska,27
75-840,Zakład Ubezpieczeń Społecznych Oddział w Koszalinie,Koszalin,Fałata Juliana,30
30-450,Zakład Ubezpieczeń Społecznych Oddział,Kraków (Kraków-Podgórze),Zakopiańska,62
10-570,Zakład Ubezpieczeń Społecznych Oddział w Olsztynie,Olsztyn,Plac Konsulatu Polskiego,4.0
70-769,Zakład Ubezpieczeń Społecznych Oddział w Szczecinie,Szczecin,Andre Citroena,2.0
70-520,Zakład Ubezpieczeń Społecznych Oddział w Szczecinie,Szczecin,Jana Matejki,22.0
35-075,Zakład Ubezpieczeń Społecznych w Rzeszowie,Rzeszów,al. Józefa Piłsudskiego,12.0
50-930,Zakład Ubezpieczeń Społecznych we Wrocławiu,Wrocław (Wrocław-Krzyki),Bernarda Pretficza,11.0
00-992,ZOMIS Sp. z o.o.,Warszawa (Praga-Północ),Jagiellońska,88.0
